Experiment,Model,Best Accuracy,Spikes at Convergence,Efficiency (Acc/Spike)
Lorenz-SNN,SNN,93.4475806451613,25425913.0,0.0003675289089723594
UMAP-Rate-SNN,SNN,44.75806451612903,14153179.0,0.00031624036208493535
UMAP-Phase-SNN,SNN,89.41532258064517,11811808.0,0.0007569994583441008
UMAP-Latency-SNN,SNN,41.935483870967744,5489530.0,0.0007639175643628461
UMAP-TTFS-SNN,SNN,30.342741935483872,8222767.0,0.000369008898531162
UMAP-Burst-SNN,SNN,85.48387096774194,21167442.0,0.0004038460148738895
Lorenz-SNN,SNN,93.8508064516129,24151201.0,0.00038859685053183437
UMAP-Rate-SNN,SNN,48.79032258064516,14662364.0,0.00033275890968635863
UMAP-Phase-SNN,SNN,89.41532258064517,9901537.0,0.0009030448765746688
UMAP-Latency-SNN,SNN,37.70161290322581,5461921.0,0.0006902628746044808
UMAP-TTFS-SNN,SNN,19.052419354838708,9416038.0,0.00020234008565851911
UMAP-Burst-SNN,SNN,93.04435483870968,21883037.0,0.00042518940510272716
Lorenz-SNN,SNN,95.26209677419355,26325333.0,0.00036186473604794876
UMAP-Rate-SNN,SNN,50.90725806451613,13722085.0,0.0003709877767446866
UMAP-Phase-SNN,SNN,90.7258064516129,9794247.0,0.0009263173212970113
UMAP-Latency-SNN,SNN,25.302419354838708,5681175.0,0.00044537299686840676
UMAP-TTFS-SNN,SNN,10.786290322580646,6189391.0,0.00017427062408208896
UMAP-Burst-SNN,SNN,86.08870967741936,21703296.0,0.000396661915671331
Lorenz-SNN,SNN,94.25403225806451,22307624.0,0.00042251936942304803
UMAP-Rate-SNN,SNN,45.46370967741935,13178934.0,0.00034497258789989655
UMAP-Phase-SNN,SNN,85.48387096774194,9497955.0,0.0009000239627134677
UMAP-Latency-SNN,SNN,37.70161290322581,5434157.0,0.0006937895409209894
UMAP-TTFS-SNN,SNN,11.391129032258064,6726565.0,0.0001693454093175055
UMAP-Burst-SNN,SNN,67.23790322580645,22324369.0,0.00030118613084117383
Lorenz-SNN,SNN,93.54838709677419,27616922.0,0.0003387357472232937
UMAP-Rate-SNN,SNN,50.100806451612904,12623148.0,0.00039689629283925777
UMAP-Phase-SNN,SNN,89.11290322580645,8832804.0,0.0010088857765417013
UMAP-Latency-SNN,SNN,35.685483870967744,5633985.0,0.0006333968562388388
UMAP-TTFS-SNN,SNN,31.149193548387096,9263275.0,0.00033626545199604994
UMAP-Burst-SNN,SNN,89.11290322580645,22711304.0,0.000392372464504048
