experiment,delta,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std,Spikes Mean,Spikes Std,lyapunov_max,lyapunov_sum,lyapunov_1,lyapunov_2,lyapunov_3,ais_x,ais_y,ais_z,avg_ais
MixedOsc_d-1.50,-1.5,93.94153226,0.963163312,9.1,3.961060464,19159564.7,325453.1454,1.17,3,1.17,1.15,0.68,3,2.98,3,2.99
MixedOsc_d-1.00,-1,93.87096774,0.452619845,9.2,5.035871325,17853646.9,283366.9571,0.79,2,0.79,0.69,0.51,3,3,2.85,2.95
MixedOsc_d-0.60,-0.6,93.82056452,0.637635669,8.7,4.026164428,15929266.6,933006.449,0.44,1.2,0.44,0.4,0.35,2.57,3.31,3.27,3.05
MixedOsc_d-0.30,-0.3,93.00403226,0.75193775,12.5,4.674398357,13679068,890569.8028,0.24,0.6,0.24,0.19,0.18,2.88,2.93,2.57,2.8
MixedOsc_d-0.15,-0.15,93.67943548,1.084829181,14.3,6.017474553,11983735.6,1284716.952,0.16,0.3,0.16,0.07,0.07,3.02,3.02,3.01,3.02
MixedOsc_d0.00,0,92.82258065,0.686372763,15.6,5.730619513,7396445.5,928253.7771,0.08,0,0.08,-0.01,-0.07,2.95,2.98,2.98,2.97
MixedOsc_d0.15,0.15,93.18548387,0.741047417,12.2,3.736308338,4800588.2,684259.2047,0,-0.3,0,-0.09,-0.21,2.99,3.01,2.98,2.99
MixedOsc_d0.30,0.3,92.54032258,0.709952293,11.7,3.257299495,4225399.8,519179.7788,-0.07,-0.6,-0.07,-0.17,-0.36,3.04,2.96,2.97,2.99
MixedOsc_d0.60,0.6,92.15725806,0.851560971,12.9,4.635730795,4336459.5,578852.3397,-0.22,-1.2,-0.22,-0.32,-0.66,2.81,2.51,2.67,2.66
MixedOsc_d1.00,1,92.67137097,0.828884075,19.9,5.318834459,4470644.2,261814.9917,-0.41,-2,-0.41,-0.53,-1.06,2.34,1.92,2.18,2.15
MixedOsc_d1.50,1.5,92.03629032,1.456644505,15.3,5.441507144,4219586.2,495429.8707,-0.7,-3,-0.7,-0.75,-1.56,1.81,1.54,1.49,1.62
MixedOsc_d2.00,2,92.91330645,0.894909239,15.6,5.660388679,4060098.2,418550.4232,-0.88,-4,-0.88,-1.06,-2.05,1.32,0.93,0.92,1.06
MixedOsc_d2.50,2.5,92.09677419,1.01429526,13.9,6.040695324,3997501.6,595550.9214,-1.15,-5,-1.15,-1.3,-2.55,0.95,1.15,1.16,1.09
MixedOsc_d4.00,4,92.26814516,0.97010171,14.9,5.107837116,3923545.5,378170.6808,-0.55,-8,-0.55,-3.4,-4.05,2.07,2.07,2.07,2.07
MixedOsc_d5.00,5,92.37903226,1.189516129,16.1,5.281098371,4163199.9,459039.3129,-0.42,-10,-0.42,-4.54,-5.04,2.44,2.44,2.44,2.44
MixedOsc_d7.00,7,92.93346774,1.239919355,15.5,3.07408523,4437645.4,483354.2957,-0.29,-14,-0.29,-6.67,-7.04,2.85,2.85,2.84,2.84
MixedOsc_d10.00,10,92.9233871,1.060913074,12.5,5.1623638,4887743.9,596408.7739,-0.2,-20,-0.2,-9.77,-10.03,3.08,3.08,3.08,3.08
